2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 57 launched with AppFuture: <AppFuture at 0x7f13774c5438 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 58 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 58 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 58 launched with AppFuture: <AppFuture at 0x7f13774c5630 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 59 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 59 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 59 launched with AppFuture: <AppFuture at 0x7f13774c5828 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 60 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 60 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 60 launched with AppFuture: <AppFuture at 0x7f13774c5a58 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 61 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 61 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 61 launched with AppFuture: <AppFuture at 0x7f13774c5eb8 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 62 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 62 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 62 launched with AppFuture: <AppFuture at 0x7f13774c5be0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 63 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 63 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 63 launched with AppFuture: <AppFuture at 0x7f1377e84c18 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 64 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 64 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 64 launched with AppFuture: <AppFuture at 0x7f1377e84e48 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 65 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 65 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 65 launched with AppFuture: <AppFuture at 0x7f1377e84b38 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 66 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 66 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 66 launched with AppFuture: <AppFuture at 0x7f1377e84208 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 67 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 67 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 67 launched with AppFuture: <AppFuture at 0x7f1377e84390 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 68 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 68 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 68 launched with AppFuture: <AppFuture at 0x7f1377e845c0 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 69 submitted for App pdf_action, waiting on tasks []
2018-07-25 21:03:26 parsl.dataflow.dflow:363 [INFO]  Task 69 launched on executor threads
2018-07-25 21:03:26 parsl.dataflow.dflow:586 [DEBUG]  Task 69 launched with AppFuture: <AppFuture at 0x7f1377e847b8 state=pending>
2018-07-25 21:03:26 parsl.dataflow.dflow:565 [INFO]  Task 70 submitted for App pdf_action, waiting on tasks []
